INFO 2024-10-24 18:46:21,896 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-24 18:46:21,898 autoreload Waiting for apps ready_event.
DEBUG 2024-10-24 18:46:22,020 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-24 18:46:22,028 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-10-24 18:46:22,028 autoreload Watching dir D:\project\university-admission-assistant\backend\locale with glob **/*.mo.
DEBUG 2024-10-24 18:46:22,029 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-10-24 18:46:22,030 autoreload Watching dir C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-10-24 18:46:22,032 autoreload Watching dir D:\project\university-admission-assistant\backend\admission_assistant\locale with glob **/*.mo.
DEBUG 2024-10-24 18:46:22,256 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\__init__.py first seen with mtime 1729666335.6988866
DEBUG 2024-10-24 18:46:22,257 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\asyncio\timeouts.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,258 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1729666344.7557874
DEBUG 2024-10-24 18:46:22,258 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1729666335.6832643
DEBUG 2024-10-24 18:46:22,259 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1729666332.5365252
DEBUG 2024-10-24 18:46:22,259 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1729666331.625965
DEBUG 2024-10-24 18:46:22,260 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\asyncio\sslproto.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,260 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\contextlib.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,261 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\DLLs\_sqlite3.pyd first seen with mtime 1728278846.0
DEBUG 2024-10-24 18:46:22,261 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\email\errors.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,262 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\temp.py first seen with mtime 1729666335.3702724
DEBUG 2024-10-24 18:46:22,262 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1729666332.5365252
DEBUG 2024-10-24 18:46:22,263 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\email\utils.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,264 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py first seen with mtime 1728278808.0
DEBUG 2024-10-24 18:46:22,265 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python313\Lib\email\header.py first seen with mtime 1728278808.0
